Date,Open,High,Low,Close,Volume,Adjusted Close
2014-11-05,2503.45,2503.45,2503.45,2503.45,0.0,2503.45
2014-11-04,2513.17,2513.17,2513.17,2513.17,0.0,2513.17
2014-11-03,2512.55,2512.55,2512.55,2512.55,0.0,2512.55
2014-10-31,2508.32,2508.32,2508.32,2508.32,0.0,2508.32
2014-10-30,2468.93,2468.93,2468.93,2468.93,0.0,2468.93
2014-10-29,2451.38,2451.38,2451.38,2451.38,0.0,2451.38
2014-10-28,2416.65,2416.65,2416.65,2416.65,0.0,2416.65
2014-10-27,2368.83,2368.83,2368.83,2368.83,0.0,2368.83
2014-10-24,2390.71,2390.71,2390.71,2390.71,0.0,2390.71
2014-10-23,2402.75,2402.75,2402.75,2402.75,0.0,2402.75
2014-10-22,2418.64,2418.64,2418.64,2418.64,0.0,2418.64
2014-10-21,2433.39,2433.39,2433.39,2433.39,0.0,2433.39
2014-10-20,2454.71,2454.71,2454.71,2454.71,0.0,2454.71
2014-10-17,2441.73,2441.73,2441.73,2441.73,0.0,2441.73
2014-10-16,2444.4,2444.4,2444.4,2444.4,0.0,2444.4
2014-10-15,2463.87,2463.87,2463.87,2463.87,0.0,2463.87
2014-10-14,2446.56,2446.56,2446.56,2446.56,0.0,2446.56
2014-10-13,2454.95,2454.95,2454.95,2454.95,0.0,2454.95
2014-10-10,2466.79,2466.79,2466.79,2466.79,0.0,2466.79
2014-10-09,2481.96,2481.96,2481.96,2481.96,0.0,2481.96
2014-10-08,2478.38,2478.38,2478.38,2478.38,0.0,2478.38
2014-09-30,2450.99,2450.99,2450.99,2450.99,0.0,2450.99
2014-09-29,2447.8,2447.8,2447.8,2447.8,0.0,2447.8
2014-09-26,2437.2,2437.2,2437.2,2437.2,0.0,2437.2
2014-09-25,2436.97,2436.97,2436.97,2436.97,0.0,2436.97
2014-09-24,2441.86,2441.86,2441.86,2441.86,0.0,2441.86
2014-09-23,2399.46,2399.46,2399.46,2399.46,0.0,2399.46
2014-09-22,2378.92,2378.92,2378.92,2378.92,0.0,2378.92
2014-09-19,2425.31,2425.31,2425.31,2425.31,0.0,2425.31
2014-09-18,2408.66,2408.66,2408.66,2408.66,0.0,2408.66
2014-09-17,2401.33,2401.33,2401.33,2401.33,0.0,2401.33
2014-09-16,2388.76,2388.76,2388.76,2388.76,0.0,2388.76
2014-09-15,2437.25,2437.25,2437.25,2437.25,0.0,2437.25
2014-09-12,2438.36,2438.36,2438.36,2438.36,0.0,2438.36
2014-09-11,2423.45,2423.45,2423.45,2423.45,0.0,2423.45
2014-09-10,2432.43,2432.43,2432.43,2432.43,0.0,2432.43
