Country Name,Country Code,Series Name,Series Code,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
South Africa,ZAF,Battle-related deaths (number of people),VC.BTL.DETH,0,0,0,0,0,0,0,1389,4591,3356,3282,1473,486,76,0,0,0,177,632,767,1978,300,242,730,1530,961,0
South Asia,SAS,Battle-related deaths (number of people),VC.BTL.DETH,6810,7541,12918,11480,7649,10804,11159,7882,10306,11117,9130,10848,7892,6498,3703,4274,4333,8970,11115,18334,23323,13252,10492,10856,10242,15829,0
South Sudan,SSD,Battle-related deaths (number of people),VC.BTL.DETH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,266,926,1674,0
Spain,ESP,Battle-related deaths (number of people),VC.BTL.DETH,0,0,44,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka,LKA,Battle-related deaths (number of people),VC.BTL.DETH,533,3622,6432,4091,2075,657,4755,3868,2880,3762,1882,2525,1144,0,29,0,88,1970,2494,8243,10165,0,0,0,0,0,0
Sudan,SDN,Battle-related deaths (number of people),VC.BTL.DETH,4515,5030,1313,1083,942,337,1036,2289,3859,4891,1408,2841,3457,2312,2008,3673,246,1030,217,620,373,1054,1469,1411,589,849,0
Syrian Arab Republic,SYR,Battle-related deaths (number of people),VC.BTL.DETH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,842,15056,49171,54690,0
Tajikistan,TJK,Battle-related deaths (number of people),VC.BTL.DETH,0,0,0,3281,1045,356,368,2790,87,600,3,46,0,0,0,0,0,0,0,0,0,98,28,0,0,0,0
Thailand,THA,Battle-related deaths (number of people),VC.BTL.DETH,201,19,0,0,0,0,0,0,1,3,0,8,2,23,26,164,208,212,197,148,138,82,161,131,189,68,0
Trinidad and Tobago,TTO,Battle-related deaths (number of people),VC.BTL.DETH,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turkey,TUR,Battle-related deaths (number of people),VC.BTL.DETH,227,245,344,1563,2099,3917,3076,3344,2338,1803,1135,120,81,56,79,180,359,210,453,429,126,199,542,725,19,0,0
Uganda,UGA,Battle-related deaths (number of people),VC.BTL.DETH,1022,626,857,72,0,149,259,1155,738,746,341,364,108,722,633,1215,610,198,91,0,0,0,0,0,0,0,0
Ukraine,UKR,Battle-related deaths (number of people),VC.BTL.DETH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4352,0
United Kingdom,GBR,Battle-related deaths (number of people),VC.BTL.DETH,34,41,26,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United States,USA,Battle-related deaths (number of people),VC.BTL.DETH,0,0,0,0,0,0,0,0,0,0,0,0,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Upper middle income,UMC,Battle-related deaths (number of people),VC.BTL.DETH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4366,4377,0,0,0,0,0,0
Uzbekistan,UZB,Battle-related deaths (number of people),VC.BTL.DETH,0,0,0,0,0,0,0,0,0,0,50,297,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0
"Venezuela, RB",VEN,Battle-related deaths (number of people),VC.BTL.DETH,0,0,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"Yemen, Rep.",YEM,Battle-related deaths (number of people),VC.BTL.DETH,0,0,0,0,0,1489,0,0,0,0,0,0,0,0,0,0,0,0,0,21,94,175,1140,2330,582,1660,0
